战争,姜文|香川照之|袁丁|姜宏波|丛志军,中国大陆,姜文,电影,经典,9.2,1291858|,鬼子来了
战争,张涵予|梁家辉|林更新|余男|佟丽娅,中国大陆,徐克,电影,经典,7.7,10807909|,智取威虎山
战争,乔·阿尔文|加内特·赫德兰|克里斯汀·斯图尔特|范·迪塞尔|李淳,中国大陆,李安,电影,经典,8.4,25983044|,比利·林恩的中场战事
战争,张涵予|邓超|袁文康|汤嬿|廖凡,中国大陆,冯小刚,电影,经典,7.9,1907464|,集结号
战争,姜文|巩俐|滕汝骏|钱明|陈志刚,中国大陆,张艺谋,电影,经典,8.3,1306505|,红高粱
战争,布拉德·皮特|希亚·拉博夫|罗根·勒曼|迈克尔·佩纳|乔·博恩瑟,中国大陆,大卫·阿耶,电影,经典,7.8,23331914|,狂怒
战争,刘松仁|朱孝天|曾江|谢君豪|林熙蕾,中国大陆,高群书,电影,经典,7.3,1949812|,东京审判
战争,贾林|魏宗万|孙飞虎|李颖,中国大陆,张建亚,电影,经典,8.4,2132220|,三毛从军记
战争,周迅|彭于晏|霍建华|叶德娴|郭涛,中国大陆,许鞍华,电影,经典,6.9,26425072|,明月几时有
战争,朱龙广|刘江,中国大陆,任旭东,电影,经典,8.2,3033864|,地道战
战争,宁静|邵兵|应真|保罗·克塞,中国大陆,冯小宁,电影,经典,7.7,1305182|,红河谷
战争,富大龙|前田知惠|安娜·捷尼拉洛娃|王学伟|李鸣,中国大陆,冯小宁,电影,经典,8.1,1308078|,紫日
战争,宁静|保罗·克塞|王新军|李明,中国大陆,冯小宁,电影,经典,7.6,1298874|,黄河绝恋
战争,林青霞|秦汉|张曼玉|吴耀汉|顾美华,中国大陆,严浩,电影,经典,8.2,1296334|,滚滚红尘
战争,安吉斯|张莹|葛存壮|吴克勤|王澍,中国大陆,崔嵬|欧阳红樱,电影,经典,7.8,1461964|,小兵张嘎
战争,郭柯宇|徐啸力|伊格尔·列达哥洛夫,中国大陆,叶大鹰,电影,经典,7.5,1305034|,红樱桃
战争,白大钧|张长瑞,中国大陆,唐英奇,电影,经典,8.0,1464540|,地雷战
战争,祝新运|刘江|刘继忠|高保成,中国大陆,李俊|李昴,电影,经典,7.5,1461985|,闪闪的红星
战争,曹会渠|秦怡|冯喆|冯奇|仲星火,中国大陆,赵明,电影,经典,7.5,1434172|,铁道游击队
战争,张国荣|梅婷|泰德·巴勃考克|陶泽如|罗伯特·麦克雷,中国大陆,叶大鹰,电影,经典,7.0,1298207|,红色恋人
战争,张良|杨启天|张莹|周凋,中国大陆,郭维,电影,经典,7.1,1482709|,董存瑞
战争,蔡元元|蔡安安|程之,中国大陆,石挥,电影,经典,7.2,1461981|,鸡毛信
战争,李长华|高保成|霍德集,中国大陆,史文炽,电影,经典,7.2,1464618|,狼牙山五壮士
战争,梁音|谷毓英|恩和森|张辉|马陋夫,中国大陆,赵心水,电影,经典,7.8,1422286|,冰山上的来客
战争,田方|周文彬|刘尚娴|刘世龙|褚大章,中国大陆,武兆堤,电影,经典,7.7,1438091|,英雄儿女
战争,高保成|徐林格|刘玉茹|刘磊 |张良,中国大陆,沙蒙|林杉,电影,经典,7.7,1433701|,上甘岭
战争,祝希娟|王心刚|向梅|金乃华|牛犇,中国大陆,谢晋,电影,经典,7.2,1424630|,红色娘子军
战争,浦克|李默然|周文彬|庞学勤|任伟民,中国大陆,林农,电影,经典,7.6,1394315|,甲午风云
战争,唐国强|吕晓禾|何伟|王玉梅|倪大红,中国大陆,谢晋,电影,经典,8.6,1422283|,高山下的花环
战争,郭振清|张莹|方化|徐连凯,中国大陆,苏里|武兆堤,电影,经典,7.5,1452554|,平原游击队
战争,孙道临|袁霞|王心刚,中国大陆,王苹,电影,经典,7.7,1431694|,永不消逝的电波
战争,赵丹|韩非|高正|秦怡,中国大陆,郑君里|岑范,电影,经典,7.3,1308306|,林则徐
